date,coin,open,high,low,close,volume,tweet_count,avg_score,pct_positive,pct_negative,pct_neutral,sentiment_gap,vader_mean,vader_std,vader_pos_mean,vader_neg_mean,sentiment_7d_avg,sentiment_7d_std,sentiment_momentum,volume_7d_avg,price_return,price_7d_volatility,price_7d_momentum
2020-03-02,BTC,8563.2646484375,8921.30859375,8532.630859375,8869.669921875,42857674409,0,3.0,1.0,0.0,0.0,True,,,,,2.5714285714285716,0.5345224838248483,0.0,0.5714285714285714,0.03587941221856461,0.02811585898772543,-0.0808798699100638
2020-03-03,BTC,8865.3876953125,8901.5986328125,8704.990234375,8787.7861328125,42386715821,1,2.0,0.0,0.0,1.0,False,-0.4939,0.0,0.0,0.094,2.5714285714285716,0.5345224838248483,-1.0,0.5714285714285714,-0.009231886844013548,0.02665075950270977,-0.05929527218854125
2020-03-04,BTC,8788.5419921875,8843.3662109375,8712.431640625,8755.24609375,34746706368,1,3.0,1.0,0.0,0.0,False,0.802,0.0,0.184,0.0,2.7142857142857144,0.4879500364742658,1.0,0.7142857142857143,-0.0037028710724991143,0.016576543272188174,-0.007400510284575779
2020-03-05,BTC,8760.28515625,9142.0546875,8757.25390625,9078.7626953125,39698054597,1,3.0,1.0,0.0,0.0,False,0.296,0.0,0.064,0.0,2.857142857142857,0.3779644730092258,0.0,0.8571428571428571,0.03695117168590434,0.021734701262708822,0.03349863406779652
2020-03-06,BTC,9078.30859375,9167.6953125,9032.0791015625,9122.5458984375,40826885651,0,3.0,1.0,0.0,0.0,True,,,,,2.857142857142857,0.3779644730092258,0.0,0.5714285714285714,0.004822595830994203,0.020322296980105695,0.0518988932497082
2020-03-07,BTC,9121.6005859375,9163.220703125,8890.744140625,8909.9541015625,36216930370,0,3.0,1.0,0.0,0.0,True,,,,,2.857142857142857,0.3779644730092258,0.0,0.42857142857142855,-0.02330399860322019,0.022876016332268233,0.036100354114975364
2020-03-08,BTC,8908.2060546875,8914.34375,8105.2529296875,8108.1162109375,39973102121,0,3.0,1.0,0.0,0.0,True,,,,,2.857142857142857,0.3779644730092258,0.0,0.42857142857142855,-0.08999349283790192,0.04297225955413019,-0.05306164392076462
2020-03-09,BTC,8111.146484375,8177.79345703125,7690.09814453125,7923.64453125,46936995808,0,,,,,True,,,,,2.8333333333333335,0.4082482904638615,,0.42857142857142855,-0.022751484424786028,0.03874085690144591,-0.10665846631923093
2020-03-10,BTC,7922.14697265625,8136.9453125,7814.76318359375,7909.7294921875,42213940994,0,,,,,True,,,,,3.0,0.0,,0.2857142857142857,-0.0017561412564156553,0.03903841938506988,-0.09991784362462419
2020-03-11,BTC,7910.08984375,7950.814453125,7642.8125,7911.43017578125,38682762605,0,,,,,True,,,,,3.0,0.0,,0.14285714285714285,0.00021501160000858555,0.03924235226544996,-0.09637832094418386
